[2025-12-28 05:23:54] VAD | 0.00s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 0.03s: Data collection tests passed: data path exists.
[2025-12-28 05:23:54] VAD | 0.03s: Dev, eval, and train directories are present.
[2025-12-28 05:23:54] VAD | 0.04s: Sample session_0 mixture.wav files confirmed in each split.
[2025-12-28 05:23:54] VAD | 0.04s: After data collection, verified that data path exists and some some content remains.
[2025-12-28 05:23:54] VAD | 0.05s: Preprocessed data already exists. Loading from disk...
[2025-12-28 05:23:54] VAD | 1.24s: Successfully loaded preprocessed data from disk.
[2025-12-28 05:23:54] VAD | 1.25s: Finished preprocessing data into MFSC spectrograms of shape (40, time_frames) where time_frames varies per sample based on audio length.
[2025-12-28 05:23:54] VAD | 1.25s: Pipeline's tensors are set for training, validation, and testing datasets.
[2025-12-28 05:23:54] VAD | 1.26s: Data successfully split into training, validation, and test sets, roughly at expected proportions. The expected proportions are given by n_valid, n_test, n_train variables in VADPipeline
[2025-12-28 05:23:54] VAD | 1.26s: Beginning training process.
[2025-12-28 05:23:54] VAD | 2.43s: Using CPU Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz for training
[2025-12-28 05:23:54] VAD | 60.01s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 120.02s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 180.03s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 240.04s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 300.04s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 360.05s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 420.06s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 480.07s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 482.36s: Epoch 1/20 - Train Acc: 0.8735, Valid Acc: 0.9025
[2025-12-28 05:23:54] VAD | 540.08s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 600.09s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 660.09s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 720.10s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 780.11s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 840.12s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 900.13s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 960.14s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 961.79s: Epoch 2/20 - Train Acc: 0.8933, Valid Acc: 0.8925
[2025-12-28 05:23:54] VAD | 1020.15s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1080.15s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1140.16s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1200.17s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1260.18s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1320.18s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1380.19s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1440.20s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1442.03s: Epoch 3/20 - Train Acc: 0.9006, Valid Acc: 0.9067
[2025-12-28 05:23:54] VAD | 1500.21s: Heartbeat (Program is running)
[2025-12-28 05:23:54] VAD | 1560.22s: Heartbeat (Program is running)
